"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3";"TO-220_Neutral123_Horizontal";1;"LM2931AZ-3.3/5.0";;;
2;"P5";"MiniDIN4";1;"ADB";;;
3;"C1,C2";"C_Rect_L7_W2.5_P5";2;"0.1uF";;;
4;"C3";"C_Rect_L7_W2.5_P5";1;"1uF";;;
5;"JP1";"Pin_Header_Straight_1x02";1;"JUMPER";;;
6;"P1";"Pin_Header_Straight_2x17";1;"CONN_02X17";;;
7;"P6";"Pin_Header_Straight_2x04";1;"EXPANSION";;;
8;"Q1,Q2,Q3,Q4,Q5,Q6";"TO-92_Inline_Narrow_Oval";6;"BS170";;;
9;"U1";"DIP-40_W15.24mm";1;"P8X32A";;;
10;"U2";"DIP-8_W7.62mm";1;"24C512";;;
11;"U4";"DIP-20_W7.62mm";1;"74LVC245";;;
12;"U5,U6";"DIP-20_W7.62mm";2;"74LVC244";;;
13;"Y1";"Crystal_HC50-U_Vertical";1;"5MHz";;;
14;"R13,R12,R11,R10,R9,R8,R7,R6,R5,R4,R3,R2,R1";"Resistor_Vertical_RM5mm";13;"10K";;;
15;"P3";"MiniDIN6";1;"PS2/0";;;
16;"P4";"MiniDIN6";1;"PS2 / 1";;;
17;"SW1";"SW_PUSH_SMALL";1;"RESET";;;
18;"P2";"Pin_Header_Straight_1x04";1;"PROP PLUG";;;
19;"REF**";"Symbol_OSHW-Logo_SilkScreen";1;"Symbol_OSHW-Logo_SilkScreen";;;
20;"REF**,REF**,REF**,REF**";"MountingHole_2-7mm";4;"MountingHole_2-7mm";;;
